id,xcoord,ycoord,area,perimeter,MeanCI,MeanGNDVI,MeanNDRE,MeanNDVI,MeanNLI,MeanRCI,MeanTCARI,Predicted_Yield
251,327651,9750481,2.558349609,6.648342664,2.052381078,0.640623324,0.151928497,0.481962657,-0.83967432,0.36367213,0.00890404,6.78058919610054
252,327701,9750481,1.091064453,3.993739715,1.877172225,0.632849091,0.143773573,0.471760449,-0.846648966,0.338818219,0.010954827,6.47190043947015
253,327683,9750480,1.263671875,4.383096347,2.370175229,0.62432757,0.101526878,0.521762035,-0.844230506,0.229559687,0.008948779,4.87273412580577
254,327626,9750481,4.238037109,8.375152697,2.608247195,0.661448509,0.147889384,0.526537214,-0.807607236,0.353356642,0.006029793,6.62769644445017
255,327708,9750480,1.373046875,4.32344333,2.198828458,0.652328307,0.154060965,0.483408614,-0.831156235,0.367914575,0.006887225,6.86130961672912
256,327654,9750480,3.641357422,7.573068582,3.098617019,0.654222367,0.11881552,0.547645096,-0.781894188,0.273418073,0.001451149,5.52716197857397
257,327703,9750480,2.217285156,6.415469168,2.662964184,0.663253162,0.143112597,0.557068517,-0.809821214,0.337836123,0.008228741,6.4468804810251
258,327658,9750480,2.583251953,6.368462453,2.099546797,0.641707282,0.163665419,0.481627976,-0.829698185,0.400473135,0.008263292,7.22486750683009
259,327628,9750480,3.820800781,8.269098203,2.488889488,0.659868445,0.15397996,0.519872927,-0.808518206,0.370705768,0.006821311,6.85824333030746
260,327686,9750480,2.568359375,6.134833507,2.848109814,0.634404689,0.114164614,0.535725094,-0.797559228,0.260151309,0.004826339,5.35111099510131
261,327710,9750480,2.234619141,5.588280759,2.750846211,0.665201701,0.14258736,0.526323984,-0.810208622,0.336634269,0.00358282,6.42699865791231
262,327634,9750479,2.818115234,6.478917784,2.354779564,0.647096867,0.146610072,0.502727323,-0.815306247,0.348998505,0.007504227,6.57927058166809
263,327689,9750479,2.949707031,6.470994046,2.460636956,0.63012134,0.124416829,0.502765378,-0.820255853,0.289705542,0.006622207,5.73918861557422
264,327631,9750479,2.759765625,6.734640033,2.038817923,0.628461432,0.145560761,0.464047726,-0.831021279,0.349174262,0.008356608,6.53955095854118
265,327661,9750479,6.087158203,9.955619637,3.126506875,0.685255369,0.172493492,0.55829182,-0.760803021,0.426043703,0.002525629,7.55903700709916
266,327637,9750479,2.126464844,5.582742332,2.034221292,0.63175278,0.149037226,0.46685724,-0.830725773,0.358502828,0.00844271,6.67114576657606
267,327642,9750478,1.333251953,4.648921849,1.895051246,0.629574744,0.135617598,0.463023258,-0.855900368,0.319162618,0.009378905,6.16317189928283
268,327639,9750479,2.395751953,6.310982696,2.233974469,0.650534255,0.152583912,0.490086367,-0.814656506,0.369489333,0.008055777,6.80539865372723
269,327695,9750478,1.192871094,4.208753555,1.758423375,0.593188482,0.111139619,0.442337574,-0.862888782,0.252929673,0.01083472,5.23660570414297
270,327666,9750478,1.472412109,4.599961669,2.811371746,0.675688261,0.163871377,0.555392396,-0.809218372,0.399509324,0.005086831,7.23266364557253
271,327663,9750479,6.017089844,9.579754958,3.575201408,0.685045373,0.159587563,0.595788257,-0.741961636,0.385623032,0.000514454,7.07050821441267
273,327669,9750478,4.221923828,8.580669524,2.868343989,0.671499341,0.1383458,0.563817593,-0.801436343,0.327161454,0.005495336,6.26644266958266
274,327672,9750478,2.753417969,6.841004418,2.667993975,0.679988551,0.161789572,0.546752167,-0.812446894,0.391032952,0.005940931,7.15386097408265
275,327701,9750478,2.681396484,6.93697412,2.356733271,0.658667529,0.152022595,0.518268516,-0.815882346,0.362413669,0.008230109,6.78415109252305
276,327646,9750477,2.344726563,5.818661836,2.235742707,0.630459357,0.131020892,0.499159466,-0.827290606,0.305228552,0.009152491,5.98917255119137
277,327675,9750477,1.78515625,5.383207913,2.319652019,0.634554826,0.118974967,0.502602119,-0.840945974,0.273390004,0.006989914,5.53319753404677
278,327623,9750477,1.624267578,4.846465651,1.865996002,0.61751187,0.128315423,0.456867883,-0.850401848,0.297802129,0.010044155,5.88676229430706
280,327678,9750476,2.040771484,5.582664399,2.534501789,0.668291456,0.131662583,0.535596854,-0.81801036,0.307076093,0.007280691,6.01346251354184
281,327655,9750477,2.867919922,7.076659916,2.420111324,0.646276102,0.122759994,0.520002994,-0.832238789,0.283534726,0.007830931,5.67647235530108
282,327649,9750477,3.305908203,7.869837056,2.340088204,0.664042441,0.166398987,0.508455174,-0.813335238,0.407350891,0.007360807,7.32834139660326
283,327625,9750476,1.892578125,5.432932433,2.232187475,0.629679863,0.122433398,0.498130564,-0.836825255,0.284907208,0.00857563,5.66410970015426
284,327652,9750477,3.933349609,9.233954501,2.310870643,0.671184201,0.171041472,0.506671698,-0.813246741,0.416941985,0.007359262,7.50407361953081
285,327658,9750476,2.289306641,5.939775061,2.751281099,0.653395626,0.11334606,0.555066476,-0.823537656,0.260188465,0.006528455,5.32012622853637
286,327681,9750476,6.501220703,10.36364554,3.583406068,0.65808167,0.127146175,0.589851184,-0.762070133,0.294581181,0.00057224,5.84250268976475
287,327628,9750476,2.1953125,5.723402908,1.856632059,0.609650587,0.145436393,0.450758964,-0.841916915,0.349677404,0.010257717,6.53484325025541
288,327688,9750476,2.297851563,5.654647295,2.425677013,0.639160499,0.137760636,0.49261929,-0.809775077,0.325917905,0.005893149,6.2442924266638
289,327660,9750475,2.970458984,6.912939203,3.437781514,0.669403517,0.144711274,0.592095593,-0.786204784,0.343953542,0.001872137,6.50739528353995
290,327690,9750475,2.3671875,6.276011189,2.448807596,0.64737323,0.136749288,0.520712067,-0.820612422,0.321195512,0.007576261,6.20600981892391
291,327634,9750475,3.273681641,7.011664241,3.158479225,0.638254566,0.135592027,0.535756398,-0.76660601,0.319009933,0.000720983,6.16220395890769
292,327631,9750475,5.089599609,8.843701858,2.945711522,0.614641534,0.110145201,0.537047624,-0.789937389,0.250864168,0.004369198,5.19896394856182
293,327637,9750475,2.476074219,5.981570487,2.49056031,0.653095172,0.144529846,0.522987026,-0.816625617,0.343655947,0.007026449,6.50052768014623
294,327663,9750475,1.692138672,5.043799998,3.711276249,0.714946525,0.180181561,0.641020553,-0.765960536,0.444464786,0.002083597,7.85005387745854
295,327693,9750475,2.129150391,5.557877575,2.294908493,0.636052355,0.136387444,0.499821885,-0.827425833,0.321307071,0.007908229,6.19231291942439
296,327640,9750474,2.403320313,5.98800836,3.227146642,0.644506341,0.131647612,0.55866517,-0.754345368,0.307833714,0.00237073,6.01289581551062
297,327696,9750474,2.110839844,5.462388569,2.424051876,0.643964225,0.145416254,0.502530723,-0.819118569,0.345817595,0.006239863,6.534080927655
298,327669,9750474,2.761474609,6.393757923,3.426547964,0.685054328,0.146101462,0.582360645,-0.775284251,0.349322382,-0.000290297,6.56001814123948
300,327699,9750474,1.497802734,4.683544863,2.192499179,0.647505194,0.146753487,0.487686829,-0.834030586,0.350419024,0.007731172,6.58469927702222
301,327672,9750474,3.490966797,7.796668768,3.124922641,0.70700956,0.182382354,0.590027603,-0.780323852,0.456081344,0.003975966,7.93336060781812
302,327676,9750474,1.963378906,5.804894347,2.912479242,0.685642282,0.164502562,0.571350065,-0.805462552,0.399991448,0.005049683,7.25655592376589
304,327702,9750473,1.136962891,3.889683941,2.160935456,0.596022738,0.11163039,0.445629972,-0.842347936,0.254681945,0.005936366,5.25518288398919
305,327646,9750473,1.640869141,4.996673993,2.070393022,0.646377046,0.16705228,0.488388966,-0.827008268,0.407497745,0.009634895,7.35307053005507
306,327706,9750473,1.277587891,4.11063604,2.18186107,0.616539535,0.112102788,0.488783709,-0.842331962,0.254018365,0.008973252,5.27306458972363
307,327678,9750473,1.045654297,3.847643526,2.466101194,0.671375984,0.151370728,0.546976563,-0.81879951,0.358383127,0.009090479,6.75947593752241
308,327709,9750473,1.335449219,4.370680843,2.023451927,0.612425024,0.120479474,0.467981178,-0.854867192,0.27569314,0.008547203,5.59014771471942
309,327652,9750473,1.392578125,4.564245482,1.988886259,0.618440519,0.117011168,0.487801431,-0.847867919,0.267685729,0.011391136,5.4588617497302
310,327680,9750473,1.964599609,5.667379068,2.731112944,0.65845887,0.134055612,0.540256509,-0.825886594,0.31844895,0.00466539,6.10404596307373
311,327625,9750473,2.990234375,6.727191832,2.126578795,0.639878794,0.154276403,0.481489692,-0.820424795,0.372249924,0.008800405,6.86946460239801
312,327711,9750472,1.068359375,3.844666376,2.050648747,0.620687803,0.103106211,0.488735723,-0.853368603,0.231870178,0.010623668,4.93251669889601
313,327649,9750473,4.278808594,8.080851287,2.818739679,0.654370932,0.146979003,0.532243768,-0.785692853,0.350748258,0.004197297,6.59323574574226
314,327684,9750472,2.088134766,5.629222105,2.809167579,0.675514953,0.161661559,0.546518119,-0.806136789,0.394869163,0.004634398,7.14901529142485
315,327627,9750472,2.387695313,5.965692389,2.258021437,0.653555641,0.15543944,0.500421145,-0.825176653,0.372735616,0.00784827,6.91348910163861
316,327655,9750472,1.974609375,6.153768358,2.287735318,0.660074399,0.154021419,0.512494909,-0.833912634,0.366775133,0.007761603,6.85981267996187
317,327640,9750471,1.297119141,4.55932173,2.253648834,0.600734014,0.116467561,0.484638683,-0.840740021,0.265716335,0.00759525,5.43828456606478
318,327631,9750472,5.226074219,8.829411117,3.365351687,0.630185449,0.121017294,0.557854633,-0.747083398,0.278731586,0.001008793,5.61050584277689
